Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1997,0.0324
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,1997,6.710000000000001
India,IND,Individuals using the Internet (% of population),IT.NET.USER.ZS,1997,0.0708
Japan,JPN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1997,9.16
Nigeria,NGA,Individuals using the Internet (% of population),IT.NET.USER.ZS,1997,0.0172
South Africa,ZAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,1997,1.63
United Kingdom,GBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,1997,7.39
United States,USA,Individuals using the Internet (% of population),IT.NET.USER.ZS,1997,21.6
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,1998,1.48
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1998,24.9
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1998,0.169
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,1998,9.88
India,IND,Individuals using the Internet (% of population),IT.NET.USER.ZS,1998,0.1389999999999999
Japan,JPN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1998,13.4
Nigeria,NGA,Individuals using the Internet (% of population),IT.NET.USER.ZS,1998,0.0252
South Africa,ZAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,1998,2.91
United Kingdom,GBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,1998,13.7
United States,USA,Individuals using the Internet (% of population),IT.NET.USER.ZS,1998,30.1
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,1999,2.04
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1999,36.2
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1999,0.7080000000000001
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,1999,20.8
India,IND,Individuals using the Internet (% of population),IT.NET.USER.ZS,1999,0.2729999999999999
Japan,JPN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1999,21.4
Nigeria,NGA,Individuals using the Internet (% of population),IT.NET.USER.ZS,1999,0.041
South Africa,ZAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,1999,4.12
United Kingdom,GBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,1999,21.3
United States,USA,Individuals using the Internet (% of population),IT.NET.USER.ZS,1999,35.8
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2000,2.87068515854108
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2000,51.3
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2000,1.77591320677415
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,2000,30.2163466048889
India,IND,Individuals using the Internet (% of population),IT.NET.USER.ZS,2000,0.527532449930946
